Yoruba,English
"émi, mo",I
"ìwọ, ọ (informal);
ẹ̀yín (formal)","you
(singular)"
"ó, òun",he
"àwa, a",we
ẹ̀yin,"you
(plural)"
àwọn,they
"eléyí, èyí",this
"èyí, èyítí, ohun tí",that
"ibí, níhàyín",here
"lọhun, nibẹ",there
"tani, ẹnití",who
"kíni, kínlá, èwo",what
"ibo, níbo, níbití",where
ìgbàtí,when
"bí, báwo",how
"kò, kì",not
"gbogbo, olúkúlùkú",all
"púpọ̀, pọ̀, ọ̀pọ̀lọpọ̀",many
"díẹ, kan, àwọn kan",some
díẹ,few
"òmíràn, míràn",other
"mení, ọ̀kan",one
méjì,two
mẹta,three
mẹrin,four
màrún,five
"nlá, tóbi, gbórin",big
"jìnnà, gùn, pẹ́",long
"gbòrò, jìnnà",wide
nípọn,thick
wúwo,heavy
"kéré, diẹ",small
kúrú,short
"tóró, híhá, há",narrow
"tínrín, tẹ́rẹ́ (?)",thin
obìnrin,woman
ọkùnrin,"man
(adult male)"
ènìyàn,"man
(human being)"
"èwe, ọmọ, ọmọdé","child
(a youth)"
"ìyàwó, aya",wife
ọkọ,husband
"ìyá, abiyamọ",mother
bàbá,father
ẹran,animal
ẹja,fish
"ẹiyẹ, ẹyẹ abìyẹ́ (?)",bird
ajá,dog
iná,louse
ejọ́,snake
"ekòló, kòkòròìdinaràn",worm
igi,tree
"igbó, ẹgàn",forest
"kùmọ, ọgọ (?)","stick
(of wood)"
"éso, ọmọ",fruit
"irúgbìn, irúmọ",seed
ewé,leaf
"gbòngbò, ìpilẹ̀sẹ̀",root
èpo igi,"bark
(of tree)"
òdòdó,flower
koríko,grass
okùn,rope
ara,"skin
(of a person)"
ẹran jíjẹ,"meat
(as in flesh)"
ẹ̀jẹ,blood
egungun,bone
ọ̀rá,"fat
(noun)"
ẹyin,egg
ìwo,horn
ìrú,tail
ìyẹ́ ẹyẹ,"feather
(rather not down)"
irun,hair
orí,head
etí,ear
ojú,eye
imú,nose
ẹnu,mouth
ehín,"tooth
(rather not molar)"
ahọ́n,tongue
èékánná ìka ọwọ́ (?),fingernail
ẹsẹ̀,foot
ẹsẹ̀,leg
"orúkún, ekún",knee
ọwọ,hand
ìyẹ́ apá,wing
"inú, ikùn",belly
ìfun,guts
"ọrùn, ẹ̀mí",neck
ẹ̀hìn,back
